"Country","ISO3","W","E","V","S","C","A","S_01","S_02","S_03","S_04","S_05","C_01","C_02","C_03","A_01","A_02","A_03","EI_01","EI_02","EI_03","EI_04","EI_05","EI_06","EI_07","SI_01","SI_02","SI_03","SI_04","SI_05","SI_06","SI_07","SI_08","SI_09","SI_10","SI_11","SI_12","SI_13","SI_14","CI_01","CI_02","CI_03","CI_04","CI_05","CI_06","CI_07","AI_01","AI_02","AI_03","AI_04","EI_01a_Norm","EI_01a_Base","EI_01b_Norm","EI_01b_Base","EI_01c_Norm","EI_01c_Base","EI_01d_Norm","EI_01d_Base","EI_01e_Norm","EI_01e_Base","EI_01f_Norm","EI_01f_Base","EI_02a_Norm","EI_02a_Base","EI_02b_Norm","EI_02b_Base","EI_02c_Norm","EI_02c_Base","EI_02d_Norm","EI_02d_Base","EI_02e_Norm","EI_02e_Base","EI_02f_Norm","EI_02f_Base","EI_03a_Norm","EI_03a_Base","EI_03b_Norm","EI_03b_Base","EI_03c_Norm","EI_03c_Base","EI_03d_Norm","EI_03d_Base","EI_03e_Norm","EI_03e_Base","EI_03f_Norm","EI_03f_Base","EI_04a_Norm","EI_04a_Base","EI_04b_Norm","EI_04b_Base","EI_04c_Norm","EI_04c_Base","EI_04d_Norm","EI_04d_Base","EI_04e_Norm","EI_04e_Base","EI_04f_Norm","EI_04f_Base","EI_05a_Norm","EI_05a_Base","EI_05b_Norm","EI_05b_Base","EI_05c_Norm","EI_05c_Base","EI_05d_Norm","EI_05d_Base","EI_05e_Norm","EI_05e_Base","EI_05f_Norm","EI_05f_Base","EI_06a_Norm","EI_06a_Base","EI_06b_Norm","EI_06b_Base","EI_06c_Norm","EI_06c_Base","EI_06d_Norm","EI_06d_Base","EI_06e_Norm","EI_06e_Base","EI_06f_Norm","EI_06f_Base","EI_07a_Norm","EI_07a_Base","EI_07b_Norm","EI_07b_Base","SI_01a_Norm","SI_01a_Base","SI_01b_Norm","SI_01b_Base","SI_02a_Norm","SI_02a_Base","SI_02b_Norm","SI_02b_Base","SI_03a_Norm","SI_03a_Base","SI_03b_Norm","SI_03b_Base","SI_04a_Norm","SI_04a_Base","SI_04b_Norm","SI_04b_Base","SI_05a_Norm","SI_05a_Base","SI_05b_Norm","SI_05b_Base","SI_06a_Norm","SI_06a_Base","SI_06b_Norm","SI_06b_Base","SI_07a_Norm","SI_07a_Base","SI_07b_Norm","SI_07b_Base","SI_08a_Norm","SI_08a_Base","SI_08b_Norm","SI_08b_Base","SI_09a_Norm","SI_09a_Base","SI_09b_Norm","SI_09b_Base","SI_10a_Norm","SI_10a_Base","SI_10b_Norm","SI_10b_Base","SI_11_Base","SI_12a_Norm","SI_12a_Base","SI_12b_Norm","SI_12b_Base","SI_13a_Norm","SI_13a_Base","SI_13b_Norm","SI_13b_Base","SI_14a_Norm","SI_14a_Base","SI_14b_Norm","SI_14b_Base","SI_15a_Norm","SI_15a_Base","SI_15b_Norm","SI_15b_Base","SI_15c_Norm","SI_15c_Base","SI_15d_Norm","SI_15d_Base","CI_01a_Norm","CI_01a_Base","CI_01b_Norm","CI_01b_Base","CI_02a_Norm","CI_02a_Base","CI_02b_Norm","CI_02b_Base","CI_03a_Norm","CI_03a_Base","CI_03b_Norm","CI_03b_Base","CI_04a_Norm","CI_04a_Base","CI_04b_Norm","CI_04b_Base","CI_05a_Norm","CI_05a_Base","CI_05b_Norm","CI_05b_Base","CI_06a_Norm","CI_06a_Base","CI_06b_Norm","CI_06b_Base","CI_07a_Norm","CI_07a_Base","CI_07b_Norm","CI_07b_Base","AI_01a_Norm","AI_01a_Base","AI_01b_Norm","AI_01b_Base","AI_01c_Norm","AI_01c_Base","AI_02a_Norm","AI_02a_Base","AI_02b_Norm","AI_02b_Base","AI_02c_Norm","AI_02c_Base","AI_03a_Norm","AI_03a_Base","AI_03b_Norm","AI_03b_Base","AI_03c_Norm","AI_03c_Base","AI_04a_Norm","AI_04a_Base","AI_04b_Norm","AI_04b_Base","AI_04c_Norm","AI_04c_Base","AI_05a_Norm","AI_05a_Base","AI_05b_Norm","AI_05b_Base"
"France","FRA",6.67,2.7,16.5,5.44,26.83,30.75,26.63,0.52,33.02,2.57,4.06,26.25,31.37,23.45,38.89,27.8,26.89,1.99,0.13,58.58,59.01,0.01,2.82,41.08,11.98,34.83,28.57,42.16,0.5,0.01,28.71,0.51,20.55,59.22,29.59,55.32,30.74,0.01,20.91,32.95,27.92,35.24,17.45,23.05,32.07,36.73,41.18,28.44,27.17,39.56,19196.34,28.32,0.02831,29.39,1285.3,19.07,0.0019,0.01,0,0.01,0,30.39,101.86,17.67,0.00015,0.01,0,0.01,0,0.01,0,0.01,0,63.19,77213.03,50.97,0.11386,62.83,60047.15,57.18,0.08855,61.93,31262.23,56.41,0.0461,64.16,1089826.3,52.98,1.60705,64.16,960618.75,53.93,1.41652,64.16,745573.04,55.96,1.09942,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,65.63,4002038.79,39.8,5.90138,50.6,174735.3,37.74,0.25766,0.01,0,0.01,0,54.31,464850.8,31.08,0.68547,21.32,82.85,6.73,17.67,34.58,11.5,35.08,15.6,27.18,50400.7,30.03,11551.88,32.07,0,55.42,167.7,0.01,100,25.41,98.65,0.01,100,0.01,100,15.96,442.53,51.63,1071.24,0.01,2.5,26.31,141,18.45,42.58,22.89,82.64,41.04,28.66,82.72,33.69,0.63989,63.98,557866,47.84,0.83,38.78,10149,24.37,0.02,0.01,0,0.01,0,49.07,155.27,21.32,11129.94,0.01,100.87,26.09,290.93,28.29,6724.4,15.46,0.01,33.51,1.2,32.4,2e-06,28.68,1.30097,27.18,1.38461,44.82,0.31368,27.7,1.41206,12.55,653.4,24.27,1147,24.91,591,21.32,6195.22,33.54,7.78,30.67,4,28.2,1650.9,46.97,67.61,37.42,103.56,57.32,0.87,35.57,9.03,34.24,68.36,25.51,5.98,26.09,324.04,34.58,171.84,22.08,96,22.26,96,40.82,83,30.88,10727.3,23.42,0.5
"Gabon","GAB",4.72,1.5,14.85,19.63,3.33,50.12,49.77,44.53,47.12,0.4,69.76,0.01,61.45,59.98,52.68,56.35,42.4,0.01,0.12,21.93,36.22,0.01,40.49,44.86,64.27,51.69,44.48,41.53,52.33,31.26,44.75,53.72,52.14,62.58,32.07,16.53,0.38,0.01,0.01,0.01,66.47,56.81,56.44,60.37,63.34,59.43,46.7,56.83,55.87,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,19.77,5.96,18.57,2e-04,0.01,0,0.01,0,0.01,0,0.01,0,20.56,6.96,20.35,0.00023,21.24,6.96,20.88,0.00023,24.24,6.6,24.72,0.00022,27.49,32865.08,41.86,1.0878,27.81,31422.15,47.01,1.04004,29.1,28633.65,51.6,0.94774,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,28.88,136662.4,28.18,4.52338,35.48,32985.74,55.95,1.09179,46.29,3575.2,58.89,0.11834,40.41,103581.57,49.79,3.42844,64.43,66.74,64.11,10.45,51.98,8.7,51.4,13,47.9,14128.94,41.31,5935.06,52.56,107.77,32.82,-245.57,47.72,85.34,57.39,49.82,34.06,90.69,28.69,87.9,61.7,10.28,32.45,1377.54,49.47,15.7,58.33,117,48.84,55.94,55.67,196.91,63.18,62.94,37.42,5.96,0.64249,18.09,547,15.11,0.02,14.28,2,0.01,0,0.01,0,0.01,0,77.11,2831.86,64.11,30087.29,71.32,41044.85,67.18,1861.41,0.01,0,0.01,0,0.01,0,0.01,0,65.76,-0.93549,67.18,-0.89775,52.8,-0.17821,61.13,-0.73285,61.42,40.86,51.86,281.55,55.42,169.52,65.76,0.75,64.11,222.5,62.58,44.8,65.09,0.67,57.92,44,55.67,93.48,27.8,23.71,64.11,0.47,57.16,21.07,60.57,887.02,50.93,1589.73,59.49,3284.52,70.34,63,69.91,62,35.46,87,48.37,3284.4,37.17,1.3
"Gambia","GMB",4.45,0.67,29.5,31.63,12.75,63.64,71.11,53.27,55.92,2.47,60.53,0.56,52.79,70.07,70.93,54.75,66.38,0.01,0.16,31.96,39.16,0.01,0.14,20.83,76.02,73.39,74.21,61.77,54.36,58.98,46.77,53.69,51.26,78.68,43.35,30.25,49.91,0.01,31.26,0.01,55.42,50.29,72.42,64.44,73.72,69.44,72.46,64.87,46.21,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,39.94,363.81,49.83,0.01519,0.01,0,0.01,0,0.01,0,0.01,0,28.6,257.84,34.85,0.01077,27.14,145.32,34.12,0.00607,31.29,80.09,36.88,0.00334,27.81,37147.57,52.51,1.55139,28.13,33754.49,53.45,1.40968,28.78,27434.81,57.04,1.14576,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,27.56,119257.02,32,4.98051,0.01,0,0.01,0,0.01,0,0.01,0,19.98,5102.58,21.72,0.2131,71.32,62.55,81.02,9.15,74.49,3.9,72.3,9.9,73.35,2237.95,75.09,346.77,64.43,246.19,59.22,244.89,50.77,80.94,58.2,46.87,45.76,59.92,76.02,1.4,71.8,1.94,30.46,1395.29,45.51,13.6,63.34,113,49.54,56.43,53.03,183.48,78.68,82.12,23.6,4.73,0.65316,27.62,4590,33.14,0.19,42.7,18000,58.33,0.74,0.01,0,0.01,0,69.97,1131.42,40.51,19122.96,61.42,24709.86,77.11,2432.2,28.61,7020.2,34.15,0.308,0.01,0,0.01,0,51.4,-0.28522,59.75,-0.63068,47.9,0.11141,52.8,-0.37158,74.49,10.7,70.41,60.6,65.09,105.92,63.8,1.42,79.55,553.46,68.32,58.4,71.09,0.19,66.46,34.6,70.86,75.2,75.97,0.07,61.42,0.65,81.55,5.63,64.11,1716.77,65.42,3432.15,65.09,6078.37,41.56,88,40.23,88,59.02,61,71.32,521.85,61.79,5.9
"Georgia","GEO",3.79,0.73,19.67,19.29,8.78,44.96,46.54,13.06,52,1.77,47.8,0.48,42.33,33.34,38.97,45.03,51.78,51.25,0.01,0.01,46.72,0.01,1.99,22.57,51.03,23.03,49.84,80.09,36.47,0.53,32.69,45.99,57.03,49.54,49.77,27.52,20.13,0.01,23.34,0.01,35.88,49.93,20.93,41.7,42.46,31.16,48.73,47.18,42.97,43.33,29765.49,82.26,0.80036,45.65,13102.01,64.78,0.3523,36.38,241.1,47.28,0.00648,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,33.89,84312.13,57.6,2.26707,35.5,77950.41,60.62,2.09601,37.13,72460.08,66.67,1.94838,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,32.88,240036.42,47.03,6.45433,19.65,1355.55,20.7,0.03645,0.01,0,0.01,0,22.06,8928.24,23.09,0.24007,49.77,73.98,52.33,12.21,14.41,13.1,36.82,15.3,47.67,14157.2,52.1,2114.44,73.35,444.03,87.45,1901.18,29.98,97.35,44.37,85.77,0.01,100,28.33,88.2,38.58,253.08,27.7,1447.37,35.4,8.7,59.76,116,55.67,59.32,58.43,213.17,44.09,31.34,65.09,23.64,0.65737,26.33,3593,28.77,0.1,20.64,210,19.64,0.01,0.01,0,0.01,0,46.73,123.08,53.98,24418.09,40.25,3037.37,51.4,931.26,22.71,2272.8,23.98,0.062,0.01,0,0.01,0,36.2,0.6685,35.57,0.82992,58.69,-0.44586,42.47,0.30998,10.16,707.8,43.1,521.6,41.57,320.32,41.83,409.7,42.08,21.45,42.84,9.8,45.06,124.35,15.96,125.03,42.08,100.84,74.17,0.1,43.1,4.08,36.2,66.69,41.04,30.74,59.75,2584.06,42.84,516.9,41.56,88,40.23,88,47.45,77,45.78,3643.09,58.56,5.2
"Germany","DEU",3.92,1.99,7.74,4.98,3.14,29.62,10.74,0.51,41.84,0.63,21.24,0.06,26.39,19.56,36.84,29.15,24.2,2.56,0.01,73.18,59.94,0.01,2.62,42.39,30.23,0.5,25.21,34.91,0.46,0.01,28.68,0.51,35.73,50.93,40.25,66.71,0.38,0.01,0.4,0.01,22.43,31.04,22.07,12.55,27,35.56,38.16,28.83,29.48,57.35,101483.21,42.44,0.12953,42.57,8370.9,27.1,0.01068,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,71.23,353653,66.58,0.45138,74.87,324482.42,70.94,0.41415,76.75,262866.14,79.47,0.3355,64.96,1321483.51,53.93,1.68665,65.8,1127236.78,54.93,1.43873,66.67,833421.58,54.93,1.06372,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,68.57,5270542.15,51.87,6.72697,37.36,45898.33,24.19,0.05858,0.01,0,0.01,0,56.6,554021.13,31.75,0.70712,29.59,81.56,30.88,16.17,0.01,14.2,24.91,17,25.51,55223.76,24.91,14747.31,32.07,0,38.01,-58.2,0.01,100,20.71,99.23,0.01,100,0.01,100,21.32,422.08,38.58,1290.12,0.01,2.5,26.31,141,35.57,48.48,35.89,123.57,21.32,21.68,84.04,33.7,0.65095,77.92,1480428,57.12,1.78,14.28,2,0.01,0,0.01,0,0.01,0,44.09,94.42,25.51,11493.65,12.55,116.62,14.41,254.79,15.8,133.8,0.01,0,0.01,0,0.01,0,21.32,1.89547,23.6,1.58531,39.7,0.58287,24.27,1.61877,28.2,430,17.28,1349,12.55,801.96,12.55,7439.61,26.09,5.1,27.95,3.7,25.51,1952.66,37.72,84.46,46.73,98.99,52.29,1.45,33.54,9.65,31.68,73.52,27.18,6.67,32.45,510.54,27.18,108.72,32,93,31.09,93,25.75,93,27.7,11857.53,21.14,0.4
"Ghana","GHA",3.05,0.34,27.33,28.56,12.66,56.48,61.08,44.11,58.53,1.84,65.46,0.67,48.75,62.11,59.82,47.06,63.99,0.01,0.14,40.29,32.45,0.01,3.08,0.01,71.93,59.1,59.49,55.04,56.5,43.22,50,31.01,65.89,61.42,49.54,26.62,23.38,0.01,44.31,0.01,50.38,47.18,62.69,58.58,65.25,52.92,67.63,62.69,35.32,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,36.34,208.15,24.64,0.00063,0.01,0,0.01,0,0.01,0,0.01,0,42.1,4860.41,37.77,0.01477,43.98,3242.8,37.47,0.00985,43.68,1182.77,37.35,0.00359,39.79,126812.09,27.17,0.38536,40.13,110178.31,26.84,0.33481,39.79,77692.76,25.21,0.23609,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,60.02,2331693.56,58.14,7.08553,52.27,211442.93,47.06,0.64253,0.01,0,0.01,0,0.01,0,0.01,0,68.32,64.48,75.73,9.43,57.66,7.3,60.57,11.5,59.49,5474.27,59.49,1400.72,50.23,78.34,60.3,283.32,46.63,85.79,68.45,23.7,36.7,83.5,50.89,22.6,72.3,1.92,34.58,1343.19,26.65,6.1,36.08,134,63.18,60.78,68.72,287.71,62.28,62.17,31.68,5.26,0.65733,34.93,13917,20.28,0.04,27.84,1700,19.64,0.01,0.01,0,0.01,0,67.93,973.36,56.16,25748.88,70.86,39995.95,67.93,1897.94,49.17,225262.8,39.93,0.772,0.01,0,0.01,0,47.44,-0.07904,53.51,-0.2101,48.37,0.09835,46.02,0.04689,75.09,10.6,52.33,271.1,66.46,97.42,51.63,40.92,65.09,245.53,65.42,47.9,47.2,71.75,54.94,51.78,57.16,91.4,74.17,0.1,70.41,0.29,59.22,18.69,63.18,1597.54,61.42,2777.83,63.49,5411.96,29.41,94,33.34,92,44.94,79,61.42,1097.57,66.66,9.9
"Greece","GRC",8.55,8.25,8.87,8.98,7.99,9.71,30.94,0.57,39.45,2.8,29.94,0.46,43.93,25.23,9.42,2.28,42.61,66.08,47.59,40.14,18.11,0.01,2.51,45.43,23.1,29.77,42.34,31.47,0.49,0.01,35.3,0.59,35.21,53.74,32.45,54.31,40.24,0.01,21.17,0.01,43.32,44.55,26.4,33.14,18.36,30.26,2.93,32.59,0.16,55.26,85261.97,85.45,0.81126,61.16,58286.75,74.2,0.55459,61.09,4946.25,63.6,0.04706,52.08,1344.52,47.14,0.01279,53.31,664.38,48.59,0.00632,43.96,83.79,41.53,8e-04,39.82,2920.41,39.97,0.02779,40.59,1881.44,41.06,0.0179,38.69,548.25,40.78,0.00522,21.51,14196.12,16.43,0.13507,20.11,9450.38,16.05,0.08992,19.75,5923.74,15.66,0.05636,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,45.16,713566.45,52.91,6.78948,30.09,18737.97,35.11,0.17829,0.01,0,0.01,0,46.26,266272.98,44.62,2.53355,26.09,82.48,20.45,16.94,41.57,10.6,21.32,17.9,37.42,30616.32,47.9,3250.68,32.07,0,30.88,-317.66,0.01,100,24.35,98.99,0.01,100,0.01,100,25.51,386.99,48.84,1108.24,0.01,2.5,34.62,135,25.51,44.55,48.6,163.05,19.49,21.32,85.59,34.79,0.64331,52.57,174236,56.11,1.63,39.92,12447,40.57,0.12,0.01,0,0.01,0,37.12,42.63,27.7,11770.24,27.7,255.51,28.2,317.56,23.39,2801,19.16,0.024,0.01,0,0.01,0,46.02,-0.01182,40.78,0.40559,45.54,0.291,43.59,0.19884,14.41,622.6,48.37,370.2,35.57,420,30.88,2703.08,10.16,2.77,33.19,4.5,34.58,700.69,22.13,116.34,36.2,104.03,66.72,0.3,37.72,7.74,0.01,148.53,29.14,7.03,40.78,877.76,29.14,117.41,0.01,99,0.01,99,40.82,83,48.84,3163.88,37.17,1.3
"Grenada","GRD",1.85,0.31,11.08,13.65,2.62,38.05,45.37,40.23,38.32,0.13,52.03,0.01,41.19,43.89,29.06,51.4,36.88,0.14,37.14,0.01,0.01,2.51,0.01,22.57,54.1,35.71,46.25,47.41,34.93,29.41,45.94,55.52,53.38,41.31,25.51,23.01,0.01,0.01,0.01,0.01,45.97,36.9,44.37,41.13,46.33,36.44,23.18,47.79,55.28,18.17,198.66,48.21,0.20528,0.01,0,0.01,0,0.01,0,0.01,0,25.42,34.62,55.46,0.03577,30.65,9.35,51.37,0.00967,28.08,0.82,42.12,0.00085,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,30.36,677.43,54.23,0.7,34.41,18.79,43.81,0.01941,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,15.24,739.48,33.42,0.76412,53.51,72.47,54.7,11.74,50,9,25.51,16.9,46.97,14369.97,45.54,3992.44,63.18,215.36,35.57,-102.09,34,95.95,35.89,93.72,31.13,95.43,27.79,89.1,39.97,228.36,52.8,1042.49,39.67,9.59,77.71,98,54.46,58.94,52.33,177.8,47.67,35.79,57.16,14.74,0.63018,15.54,234,34.07,0.21,0.01,0,0.01,0,0.01,0,0.01,0,54.22,242.24,58.69,26303.69,46.73,7347.38,49.3,894.66,0.01,0,0.01,0,0.01,0,0.01,0,41.31,0.33977,51.16,-0.13593,30.88,0.95971,44.09,0.17586,51.4,143.6,38.3,628.4,38.58,360.13,43.84,284.45,44.58,27.54,48.14,15.2,41.57,205.95,46.73,68.07,24.91,111.91,43.37,3.53,22.89,25.47,12.55,104.56,49.3,116.16,45.54,1217.91,48.6,972.1,60.93,72,61.71,72,44.94,79,44.82,3906.58,30.35,0.7
"Guatemala","GTM",11.18,4.29,29.15,30.62,14.57,55.5,55.24,45.21,60.29,3.13,57.12,0.8,63.87,60.51,65.24,51.14,51.24,67.7,5.91,0.01,28.35,2.97,3.26,24.46,42.82,63.28,55.79,61.58,44.65,35.58,47.44,55.43,51.42,58.96,72.3,47.37,64.46,0.01,63.99,0.01,63.08,64.67,62.15,62.92,56.66,55.13,77.21,55.82,46.85,62.24,147273.82,84.33,0.80602,62.93,71617.61,66.97,0.39196,66.86,9259.51,65.09,0.05068,17.62,2.22,16.39,1e-05,24.3,1.06,22.24,1e-05,27.23,0.48,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,31.01,58482.55,23.88,0.32007,31.65,54220.84,24.88,0.29675,33.57,46563.98,26.52,0.25484,57.47,127902.42,54.23,0.7,53.13,3061.4,41.71,0.01675,0.01,0,0.01,0,53.82,1406775.95,89.65,7.69918,49.03,161652.76,51.15,0.88471,0.01,0,0.01,0,29.42,31874.3,20.34,0.17445,48.6,74.63,37.72,15.09,60.57,6.6,66.11,10.8,55.18,8694.65,56.41,1621.98,47.67,46.12,79.55,1298.87,38.34,94.01,52,67.93,29.91,95.72,42.33,48.8,55.18,36.16,40.78,1257.17,51.41,16.8,59.76,116,60.3,60.45,43.84,151.91,60.03,54.11,46.02,8.18,0.68813,48.58,114207,46.19,0.68,63.54,338900,65.4,2.01,0.01,0,0.01,0,50,165.23,67.18,31259.55,60.57,23653.93,52.33,964.7,64.56,1258125.6,63.42,7.588,0.01,0,0.01,0,65.09,-0.89842,61.13,-0.67684,60.85,-0.54619,68.72,-1.05229,63.18,35.5,61.13,128.3,79.55,55.71,49.77,65.77,57.41,93.76,55.91,26.2,50.23,22.93,47.67,67.05,69.97,75.52,89.29,0.02,91.37,0.08,56.41,22.14,60.03,857.62,50.46,1563.84,57.41,2671.38,48.41,83,47.26,83,44.94,79,59.49,1196.2,44.13,2.4
"Guinea","GIN",6.84,1.47,31.85,30.94,14.35,72.77,69.3,59.78,48.47,1.99,71.01,0.53,67.06,83.18,70.55,77.26,70.71,0.11,0.13,47.09,38.42,0.01,3.49,16.66,75.9,79.85,75.78,50.22,64.18,64.04,70.1,44.34,45.69,75.09,33.19,29.2,27.14,0.01,28.58,0.01,64.76,69.45,74.81,93.51,82.26,79.12,62.91,78.91,75.64,12.59,9.7,15.14,8e-05,0.01,0,0.01,0,0.01,0,0.01,0,22.6,18.43,17.67,0.00015,0.01,0,0.01,0,0.01,0,0.01,0,47.68,11129.72,49.14,0.09011,47.73,6630.23,48.89,0.05368,45.32,1338.54,43.99,0.01084,36.48,97406.03,35.83,0.78863,38.45,91285.46,38.12,0.73907,40.13,78212.76,41.86,0.63323,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,47.71,938809.94,78.09,7.60087,63.87,426491.88,76.25,3.453,0.01,0,0.01,0,18.21,2850.29,15.24,0.02308,72.82,62.13,79.11,9.17,85.59,2.8,74.49,9.4,71.32,2576.55,80.51,224.86,53.98,114.97,46.73,14.94,61.36,63.96,67.14,29.78,56.05,42.42,73.16,1.6,89.84,0.1,54.7,1007.97,46.35,14.1,42.41,129,42.34,53.81,49.3,164.19,75.09,79.72,34.75,5.47,0.64353,32.54,9572,26.21,0.07,30.22,2600,24.37,0.02,0.01,0,0.01,0,68.32,979.78,55.18,25263.6,82.72,49292.15,81.55,2598.67,31.46,10565.6,25.97,0.082,0.01,0,0.01,0,65.42,-0.90497,64.11,-0.77875,65.76,-0.83064,73.35,-1.20903,73.91,11.25,75.73,45.1,87.45,45.2,100,0.01,80.51,579.09,84.04,100.8,91.37,0.01,73.91,28.14,73.35,70.83,44.96,3.27,71.8,0.26,77.11,7.02,75.73,4275.02,81.55,6542.87,79.55,13971.1,84.23,47,84.23,48,61,57,74.49,422.92,67.13,10.6
"Guinea-Bissau","GNB",4.14,0.67,25.56,20.24,13.75,60.02,71.14,68.53,68.86,0.14,72.28,0.5,72.73,71.49,60.11,68.49,52.51,0.01,0.13,40.93,26.04,0.01,0.16,26.06,82.26,72.13,77.53,55.67,70.94,69.94,69.97,63.52,77.29,72.3,58.43,25.9,0.01,0.01,25.08,0.01,77.89,67.91,69.24,65.74,80.26,68.94,52.41,77.12,60.83,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,20.13,6.68,22.15,0.00036,0.01,0,0.01,0,0.01,0,0.01,0,34.76,1190.52,45.27,0.06412,34.94,596.92,43.98,0.03215,38.22,524.86,50.87,0.02827,20.11,11016.6,32.93,0.59338,20.46,9477.27,32.93,0.51046,20.81,7217.26,33.57,0.38874,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,27.89,127106.46,54.29,6.84621,0.01,0,0.01,0,0.01,0,0.01,0,23.09,10795.65,29.42,0.58148,80.51,58.77,84.04,9.06,77.87,3.6,66.81,10.6,76.4,1982.26,78.68,233.52,60.3,169.2,51.4,74.6,68.71,59.02,73.25,18.23,62.99,31.04,77.65,1.1,77.87,0.64,62.88,827.93,54.58,20.04,73.93,100,79.55,68.55,75.09,400.87,71.8,75.97,31.28,5.23,0.66547,23.31,1876,28.77,0.1,0.01,0,0.01,0,0.01,0,0.01,0,73.91,1640.62,57.92,26160.85,74.49,44125.39,85.59,2693.42,23.05,2308.2,27.29,0.124,0.01,0,0.01,0,78.68,-1.45399,77.11,-1.51444,61.42,-0.56263,75.09,-1.26405,69.97,15.39,68.52,68.5,62.88,113.96,68.72,0.25,82.72,670.5,77.87,81.5,72.56,0.14,71.8,29.68,62.88,83.32,40.26,5.73,48.37,2.18,73.91,7.95,77.11,4576.52,76.4,4833.74,77.87,12079.7,54.3,78,71.23,60,58.2,62,72.3,474.16,38.13,1.5
"Guyana","GUY",6.64,2.63,16.76,16.21,11.19,25.97,54.54,39.24,48.23,0.17,63.8,0.47,52.91,56.4,46.42,9.53,39.58,0.01,1.98,51.29,38.97,0.01,33.38,65.1,48.87,57.07,47.19,67.21,39.06,33.9,53.97,33.18,51.42,45.78,47.67,48.59,0.01,0.01,21.82,0.01,51.29,54.58,55.15,54.92,59.23,52.35,41.16,55.42,1.64,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,28.6,80.38,46.13,0.01131,20.48,0.05,22.24,1e-05,0.01,0,0.01,0,46.59,8212.25,77.41,1.15605,44.49,3538.99,77.3,0.49819,32.11,89.8,45.72,0.01264,24.55,23832.38,64.16,3.35492,24.88,18077.82,64.16,2.54484,23.21,10320.33,59.98,1.45281,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,22.84,48201.75,52.56,6.78544,20.35,1982.72,38.51,0.27911,35.25,35.66,41.71,0.00502,54.86,515700.93,77.26,72.59602,58.96,70.06,40.51,14.7,53.03,8.5,61.42,11.4,46.26,15366.74,48.14,3205.23,68.32,298.52,66.11,609.58,34.62,95.55,44.08,85.78,33.63,92.02,34.18,76.8,52.1,70.1,55.91,993.06,23.29,5.2,47.26,125,60.3,60.45,43.84,151.91,52.8,42.49,50.46,10.72,0.65569,37.9,23402,62.3,2.98,0.01,0,0.01,0,0.01,0,0.01,0,70.86,1218.94,63.8,29818.48,64.11,27723.49,57.16,1275.36,18.1,654.8,26.3,0.084,0.01,0,0.01,0,47.67,-0.0919,55.18,-0.38606,54.22,-0.23708,54.94,-0.43135,48.37,181.9,62.88,104,50.7,210.72,59.49,3.65,60.57,151.1,57.92,30.1,57.66,3.29,53.51,54.75,46.49,99.06,29.92,16.92,40.25,6.2,57.92,20.29,57.41,473.84,52.1,1695.69,56.9,2626.73,0.01,99,35.84,91,12.28,97,51.63,2420.68,30.35,0.7
